species,Anuta,Bellona,Choiseul,Guadalcanal,Kolombangara,Makira,Malaita,Malaupaina,Matema,Mbanika,New Georgia,NEW GEORGIA IS.,NGGELA IS.,Nggela Sule,Nupani,OLU MALAU IS.,Ontong Java Is.,Owaraha,REEF IS.,Rendova,Rennell,Russell Is.,San Jorge,Santa Catalina,Santa Cruz,SANTA CRUZ IS.,Santa Isabel,Savo,Shortland,Sikaiana,Tikopia,Tulagi,Ugi,Vangunu,Vanikoro,Vella Lavella,SOLOMON IS.
C. abrupta x x x 3,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
C. elysii x x 2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
C. foxi x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. nesiotis x 1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
C. obnigra x x 2,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
C. scita x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. wheeleri x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptopone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. butteli x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. crassicornis x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. fusciceps x x x x x x 5,,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1
C. testacea x x x x x x x x x 8,,1,,1,1,1,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,1
C. sp. BP01* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilobocondyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. sp. BP01 x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Discothyrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. clavicornis x x x x x x x x x 8,,,,1,,1,1,,,,,,,,,,,,,1,,1,1,,,,1,,1,,,,,,,,1
Eurhopalothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. brevicornis,,,,1,,,,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,1,
E. greensladei x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. isabellae x x x x 4,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,
E. procera x x x x x x x x x x x x x x 14,,,,1,,1,1,1,,,,1,1,1,,1,,,,1,,,,,1,1,1,1,,,,1,,,,,
Gnamptogenys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. albiclava x x x 2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
G. crenaticeps x x x 2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
G. lucida x x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
G. malaensis x x x x x x x x x 8,,,,,1,1,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,1,,1,1
G. preciosa x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. solomonensis x x x 3,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
G. sp. BP03 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoponera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. biroi x x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
H. confinis x 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
H. pallidula x x x 2,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
H. papuana x x x x x x 5,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,1
H. pruinosa x x x x x x x x x x x x 11,,1,,,,1,1,1,,,,,1,1,,1,,,,,1,,,,,,1,,,,,1,1,,,,1
H. punctatissima x x 2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
H. ragusai x x x 2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
H. sororcula x 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
H. sp. BP01 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. sp. BP06 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. sp. BP07 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. sp. BP08 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridomyrmex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. anceps x x x x x x x x x x x 11,,,,1,1,,1,,1,,1,1,,,,,1,,1,,,1,,,,,1,1,,,,,,,,,
I. pallidus x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. rufoniger x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptogenys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. diminuta x x x x x 4,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1
L. foreli x x x x x 4,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1
L. oresbia x x 1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
L. truncata x x x 2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1
Lordomyrma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. epinotalis x x x x x x x 7,,,,,,1,1,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,
Monomorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. australicum x x x x x 5,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
M. destructor x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
M. floricola x x x x x x x x 8,,1,,1,,1,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,
M. pharaonis x x x x x 5,,,,1,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,
Myopias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. sp. BP01* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. sp. BP02* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. sp. BP03* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. sp. BP04* x x 2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myopopone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. castanea x x x x x x x x x x x x x x 13,,,,1,1,1,1,,,,1,1,1,1,,,,,,,,,,,1,1,1,,,,,1,,,1,,1
Myrmecina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. modesta x x x x x x x x 8,,,,,,1,,1,,,,,,,,1,,,,,1,,,,1,1,1,,,,,,1,,,,
M. subarmata,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrmecina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. transversa x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
