species,Anuta,Bellona,Choiseul,Guadalcanal,Kolombangara,Makira,Malaita,Malaupaina,Matema,Mbanika,New Georgia,NEW GEORGIA IS.,NGGELA IS.,Nggela Sule,Nupani,OLU MALAU IS.,Ontong Java Is.,Owaraha,REEF IS.,Rendova,Rennell,Russell Is.,San Jorge,Santa Catalina,Santa Cruz,SANTA CRUZ IS.,Santa Isabel,Savo,Shortland,Sikaiana,Tikopia,Tulagi,Ugi,Vangunu,Vanikoro,Vella Lavella,SOLOMON IS.
Romblonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. elysii x x x x x 5,,,,,,,,1,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,
Solenopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. geminata x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. papuana x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. pawaensis x x x 3,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
Stereomyrmex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. dispar x 1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stigmatomma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. celata x x x x x x x x x x x 10,,,,1,,1,1,,,,1,1,1,1,,,,,,,1,,,,,,1,,,,,1,,,,,1
S. gnoma x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strumigenys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. chyzeri x x x x x x x x x 9,,,,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,
S. decollata x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
S. emmae x x x x x x 6,,1,,1,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,
S. eurycera x x x x x 5,,,,1,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
S. frivaldszkyi x x 2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
S. godeffroyi x x x x x x x x x x x x 11,,,,1,,1,1,1,,,,,,,,1,,,,,1,1,,,1,1,1,,,,,,1,,,,1
S. karawajewi x x x x x x 5,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1
S. membranifera x x x x 4,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
S. mocsaryi x x x x 4,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,
S. rogeri,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. szalayi x x x x x 5,,,,1,,1,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
S. undras x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. yaleopleura x x x x x 5,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,
S. sp. BP05 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. sp. BP06 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapinoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. melanocephalum x x x x x x x x x 9,1,,1,1,,1,1,,,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,
T. minutum x 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
T. timidum x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technomyrmex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. albipes x x x x x x x x x x x x x 12,,,1,1,1,1,1,,,,1,1,1,,,,,,,1,1,,,,,,1,,,,,,1,,,,1
T. vitiensis x x 2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. sp. BP01 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetramorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. antennatum x x 2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
T. aspersum x x x x x x x 7,,,,,,1,1,,,,1,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,
T. bicarinatum x x x x x x x 7,1,,,1,,,1,,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,
T. carinatum x x x x x x x x x 9,,,,,,1,1,1,,,,,1,1,,1,,,,,,1,,,,,1,,,,,1,,,,,
T. insolens x x x x x x 6,,1,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
T. lanuginosum x x 2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
T. mayri x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. melanogyna x x x x 4,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
T. mutatum x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. pacificum x x 2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
T. salomo,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. simillimum x x x x 4,,,,1,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
T. tonganum x x x x x 5,,,,1,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,
T. vombis x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tetraponera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. laeviceps x x x 3,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
Turneria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. dahlii x x x x 4,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
T. pacifica x x x 3,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
Vollenhovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. dentata x x x 2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
V. marginata x x x 2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
V. elysii x x x 2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
V. foveaceps x x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
V. loboii x x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
V. oblonga x x x x x x 6,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,
V. pedestris x x x x x x x 7,,,,1,,1,1,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,
V. subtilis x x 2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. sp. BP01* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. sp. BP02* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. sp. BP03* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wasmannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. auropunctata,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
