"This table was copied by hand from Appendix 3 of 'Checklist of the ants (Hymenoptera, Formicidae) of the Solomon Islands and a new survey of Makira Island'. Guadalcanal, Makira, Malaupair, Rendova, Rennel, Russel, Tulagi and Ugi had different richness than given in the original table and they were recounted once or twice and not all total richness match the original values.																																							"
"species	Anuta	Bellona	Choiseul	Guadalcanal	Kolombangara	Makira	Malaita	Malaupaina	Matema	Mbanika	New Georgia	NEW GEORGIA IS.	NGGELA IS.	Nggela Sule	Nupani	OLU MALAU IS.	Ontong Java Is.	Owaraha	REEF IS.	Rendova	Rennell	Russell Is.	San Jorge	Santa Catalina	Santa Cruz	SANTA CRUZ IS.	Santa Isabel	Savo	Shortland	Sikaiana	Tikopia	Tulagi	Ugi	Vangunu	Vanikoro	Vella Lavella	SOLOMON IS.		"
"M. castanea x x x x x x x x x x x x x x 13				1	1	1	1				1	1	1	1											1	1	1					1			1		1		14"
"Myrmecina																																							0"
"M. modesta x x x x x x x x 8						1		1								1					1				1	1	1						1						8"
"M. subarmata							1																																1"
"Myrmecina																																							0"
"M. transversa x 1						1																																	1"
"M. sp. BP01* x 1						1																																	1"
"M. sp. BP03* x 1						1																																	1"
"Nylanderia																																							0"
"N. bourbonica x x x 3		1		1																	1																		3"
"N. braueri glabrior x x x x 4				1		1															1							1											4"
"N. dichroa x x x x x x x x x 9			1	1	1	1	1					1	1							1								1											9"
"N. manni x 1				1																																			1"
"N. bismarckensis x x x 3						1															1						1												3"
"N. stigmatica x x x x x x x 7				1	1	1	1	1								1																	1						7"
"N. vaga x x x x x x x x x x x x x x x 15	1	1		1	1	1			1						1				1		1			1		1	1	1		1			1						15"
"N. vividula x x x 3				1		1																											1						3"
"Ochetellus																																							0"
"O. glaber x 1						1																																	1"
"Odontomachus																																							0"
"O. malignus x x x x x x x 6				1			1														1				1	1	1										1		7"
"O. rufithorax x x x x x 4			1										1	1													1										1		5"
"O. saevissimus x x x 2				1	1																																1		3"
"O. simillimus x x x x x x x x x x x x x x x x x x x x x x x x x x x x 27	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1		1		1	1			1	1	1	1			1	1	1	1	1		1		28"
"Oecophylla																																							0"
"O. subnitida x x x x x x x x x x x x x 13				1		1	1	1					1	1		1		1				1					1	1				1	1						13"
"Opisthopsis 0																																							0"
"O. manni x x x x x x 6				1		1	1	1								1						1																	6"
"Pachycondyla																																							0"
"P. acuta x x 1																1																					1		2"
"P. aequalis x x x x x 4						1	1						1	1																							1		5"
"P. croceicornis x x x x 3				1		1																					1										1		4"
"P. darwinii x 0																																					1		1"
"P. exarata x x x 3													1														1					1							3"
"P. manni x x x 2						1																					1										1		3"
"P. melancholica x 1																									1														1"
"P. papuana x x x 2						1																					1										1		3"
"P. sheldoni x x 1						1																															1		2"
"P. stigma x x x x x x x x x x x x x x 13				1		1	1				1	1	1	1							1				1	1	1					1	1				1		14"
"P. sp. BP01 x 1						1																																	1"
"Paraparatrechina																																							0"
"P. minutula x x x x x x 6		1		1		1															1						1						1						6"
"Paratrechina																																							0"
"P. longicornis x x x x x x x x x x 10		1	1	1		1	1					1						1			1				1	1													10"
"Pheidole																																							0"
"P. belli x 1							1																																1"
"P. erato x 1																											1												1"
