"Mix of several Tabula extractions, some saved, some copy pasted because more complete than the whole document extraction.",,,,,,,,,,,,,,,,,,,,
species,Allegheny,Chemung,Susquehanna,Delaware,Erie-Niagara,Genesee,Lake Ontario,Oswego,Black,Oswegatchie,Raquette,St. Lawrence,St. Lawrence Canada,Lake Champlain,Upper Hudson,Mohawk,Lower Hudson,Newark Bay,Long Island,
Rhodeus sericeus bitterling,,,,,,,,,,,,,,,,,12,,,
Scardinius erythrophthalmus rudd,3,3,3,,3,3,3,3,,3,,3,,,3,3,123,,,
Semotilus atromaculatus creek chub,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Semotilus corporalis fallfish,,123,123,123,23,2,123,123,23,123,123,123,123,123,123,123,123,123,123,
Misgurnus anguillicaudatus oriental weatherfish,3,,,,,,,,,,,,,,,,,,,
Carpiodes cyprinus quillback,23,123,23,,123,23,23,23,3m,,,23,,1,,,,,,
Catostomus catostomus longnose sucker,,,2,123,,23,12,123,123,12,12,12,123,123,123,123,123,,,
Catostomus commersonii white sucker,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Erimyzon oblongus creek chubsucker,,123,123,123,,,123,123,2,23,,,,,2,123,123,123,123,
Erimyzon sucetta lake chubsucker,,,,,1,,1,,,,,,,,,,,,,
Hypentelium nigricans northern hog sucker,123,123,123,123,123,123,123,123,23,23,,,3,,12,123,123,,,
Moxostoma anisurum silver redhorse,123,,,,123,123,123,123,,13,13,123,123,123,,,,,,
Moxostoma breviceps smallmouth redhorse,123,,,,,,,,,,,,,,,,,,,
Moxostoma carinatum river redhorse,23,,,,,,,,,,,,,,,,,,,
Moxostoma duquesnei black redhorse,123,,,,123,1,,,,,,,,,,,,,,
Moxostoma erythrurum golden redhorse,123,,,,123,123,12,12,,,,,,,,,,,,
Moxostoma macrolepidotum shorthead redhorse,,23,123,,123,123,123,123,,123,123,123,123,12,2,23,23,,,
Moxostoma valenciennesi greater redhorse,,,,,123,3,123,123,,23,12,13,13,13,,,,,,
Ameiurus catus white catfish,,,,23,,,,,,,,,,,2,2,123,13,,
Ameiurus melas black bullhead,1,,2,23,23,12,12,12,2,12,,,,,2,2,2,2,12,
Ameiurus natalis yellow bullhead,123,3,23,23,123,23,123,123,,23,,23,,123,123,123,123,123,,
Ameiurus nebulosus brown bullhead,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Ictalurus punctatus channel catfish,2,3,23,23,123,23,123,123,23,123,13,123,,123,2,2,23,3,3,
Noturus flavus stonecat,123,,,,123,123,123,123,123,23,123,1,123,123,123,123,23,,,
Noturus gyrinus tadpole madtom,,2,12,123,123,12,123,123,,13,,123,3,,13,123,12,1,,
Noturus insignis margined madtom,,123,123,123,,2,12,123,23,23,3,3,2,,2,123,123,3,,
Noturus miurus brindled madtom,123,,,,123,2,123,123,,,,,,,,23,,,,
Esox americanus americanus redfin pickerel,,2,2,123,,,,,,,,,,123,12,12,123,23,123,
Esox americanus vermiculatus grass pickerel,23,,,,123,"2,3",123,123,23,2,,123,,,,,,,,
Esox lucius northern pike,23,123,23,12,123,123,123,123,123,123,123,123,123,123,123,123,123,,,
Esox masquinongy muskellunge,123,2,23,13,123,1 m,13,,,123,13 m,123,123,123,1,2,3,,,
Esox niger chain pickerel,,123,123,123,123,123,123,123,123,123,2 m,2,,123,123,123,123,123,123,
E. lucius 3 E. masquinongy tiger muskellunge,23,3,2,23,23,23,3,23,3,3,3,,,3,,23,23,3,23,
Umbra limi central mudminnow,123,23,23,,123,123,123,123,23,123,123,123,123,123,23,12,23,,,
Umbra pygmaea eastern mudminnow,,,,,,,,,,,,,,,,,123,123,123,
Osmerus mordax rainbow smelt,,,23,123,23,2,123,123,123,123,123,123,23,123,123,3,123,,1,
Coregonus artedi cisco,12,2,23,2,13,12,123,123,2,123,123,12,12,123,123,23,23,,,
Coregonus clupeaformis lake whitefish,,,123,2,123,12,123,123,123,123,123,123,123,123,123,123,123,,,
Coregonus hoyi bloater,,,,,,,12,,,,,,,,,,,,,
Coregonus kiyi kiyi,,,,,,,12,,,,,,,,,,,,,
Coregonus reighardi shortnose cisco,,,,,,,12,,,,,,,,,,,,,
Coregonus zenithicus shortjaw cisco,,,,,,,1,,,,,,,,,,,,,
Oncorhynchus gorbuscha pink salmon,,,,,3,,23,,,,,,,,,,,,,
Oncorhynchus kisutch coho salmon,,,,,23,3 m,23,,,,,2,,,,,,,,
Oncorhynchus mykiss rainbow trout,123,123,123,123,123,123,123,123,123,123,12,12,123,123,123,123,123,123,123,
Oncorhynchus nerka sockeye salmon,,,2,2,,,,2,23,23,,,,2,2,,2,,,
Oncorhynchus tshawytscha chinook salmon,,,,,23,2 m,23,3 m,3 m,,3 m,23,,,,,2,,,
Prosopium cylindraceum round whitefish,,,,,,,12,,123,2,123,1,123,123,123,12,,,,
Salmo salar Atlantic salmon,,,23,23,,1 m,123,123,123,123,123,1,123,123,123,,123,12,,
Salmo trutta brown trout,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Salvelinus fontinalis brook trout,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Salvelinus namaycush lake trout,,,123,12,123,23,123,123,123,123,123,123,123,123,123,123,123,,,
S. fontinalis 3 S. namaycush splake,,2,2,,,2,2,,23,23,23,,23,23,2,23,2,,,
Percopsis omiscomaycus trout-perch,123,,,,123,123,12,123,,123,,123,,123,12,123,123,,,
Aphredoderus sayanus sayanus eastern pirate perch,,,,,,,,,,,,,,,,,,,123,
Aphredoderus sayanus gibbosus western pirate perch,,,,,1,,123,,,,,,,,,,,,,
Lota lota burbot,123,,123,,123,,123,123,123,123,12,123,,12,,,,,,
Microgadus tomcod Atlantic tomcod,,,,,,,,,,,,,,,,,123,,2,
Fundulus diaphanus banded killifish,123,123,123,123,123,123,123,123,23,123,123,123,3,123,123,123,123,13,123,
Fundulus heteroclitus mummichog,,,,,,,,,,,,,,,,,123,1,123,
Gambusia affinis western mosquitofish,,,,,,,,,,,,,,,,,3,,123,
Labidesthes sicculus brook silverside,123,,,,123,23,123,123,,13,,123,,3,,123,3,,,
Apeltes quadracus fourspine stickleback,,,,,,,,,,,,,,,,,123,,123,
Culaea inconstans brook stickleback,123,123,123,,123,123,123,123,123,123,12,123,123,123,23,12,123,,,
Gasterosteus aculeatus threespine stickleback,,,,,,1 m,123,12,,,,13,,,,,123,,123,
Pungitius pungitius ninespine stickleback,,,,,2,,12,12,,,,,,,,,12,,123,
Cottus bairdii mottled sculpin,123,123,123,,123,123,123,123,,,,123,3,123,,,,,,
Cottus cognatus slimy sculpin,,123,123,123,12,123,123,123,123,123,123,12,123,123,123,123,123,23,,
Cottus ricei spoonhead sculpin,,,,,1,,2,,,,,,,,,,,,,
Myoxocehaplus thompsonii deepwater sculpin,,,,,1,,13,,,,,,,,,,,,,
Morone americana white perch,3,,,,23,23,23,23,,,2 m,123,,2,23,123,123,13,123,
Morone chrysops white bass,23,,,,123,23,123,123,,,,23,,,,23,23,,,
Morone saxatilis striped bass,,,,3,,,,,,,,,,,2,2,123,,123,
Acantharchus pomotis mud sunfish,,,,,,,,,,,,,,,,,,1,,
Ambloplites rupestris rock bass,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Enneacanthus gloriosus bluespotted sunfish,,,,123,,,,123,,,,,,,,,123,13,,
Enneacanthus obesus banded sunfish,,,,,,,,,,,,,,,,,,1,123,
