"species"
"LIZARDS"
"Calotes versicolor (Daudin)"
"Chamaeleo pardalis (Cuvier)"
"SKINKS"
"Cryptoblepharus boutonii boutonii (Desjardins)"
"Gong~ylomorphus bojerii borbonica Vinson & Vinson"
"Leiolopisma (= Didosaurus) mauritiana (Giinther)"
"Leiolopisma telfairii (Desjardins)"
"DIURNAL GECKOS (Green lizards)"
"Phelsuma borbonica agalegae Cheke"
"Phelsuma borbonica borbonica Mertens"
"Phelsuma cepediana (Milbert)"
"Phelsuma edwardnewtonii Vinson & Vinson"
"Phelsuma gigas (Liénard)"
"Pnelsuma guimbeaui Mertens a"
"Phelsuma guentheri Boulenger"
"Phelsuma lineata Gray"
"Phelsuma ornata Gray (= vinsoni)"
"subsp. ornata ornata Gray"
"subsp. inexpectata Mertens (Réunion)"
"subsp. coindemirensis (Gunner's Quoin, Mauritius)"
"NOCTURNAL LIZARDS (""'Mabuyas'')"
"Cyrtodactylus serpensinsula (Loveridge)"
"Ebenavia inunguis Boettger"
"Gehyra mutilata (Wiegmann)"
"Hemidactylus frenatus Schlegel"
"Hemidactylus mabouia (Moreau de Jonnés) (= mercatorius)"
"Hemiphyllodactylus typus typus Bleeker"
"Lepidodactylus lugubris Duméril et Bibron"
"FROG"
"Ptychadena mascareniensis mascareniensis (Duméril & Bibron)"
"TOADS."
"Bufo marinus (Linné)"
"Bufo gutturalis Power"
"TORTOISES"
"- Lani-Tortoises"
"Astrochelys radiata (Shaw)"
"Cylindraspis borbonica Bour"
"Cylindraspis graii (Duméril et Bibron) (= triserrata ?)"
"Cylindraspis inepta (Giinther)"
"Cylindraspis peltastes (Duméril et Bibron)"
"Gylindraspis vosmaeri (Fitzinger)"
"- Fresh-Water Tortoises"
"Pelusios subniger (Lacepéde)"
"Trionyx steindachneri Sicbenrock"
""
"- Marine Turtles"
"Chelonia mydas (Linné) (green turtle)"
"Dermochelys coriacea (Vandelli) (lute)"
"Eretmochelys imbricata (Linné) (Hawk's bill)"
"SNAKES"
"Bolyeria multocarinata (Boie) |]"
"Casarea dussumieri (Sctepel) j (boa)"
"Lycodon aulicus (Linné)"
"Pelamis platucus (Liuné) (sea-snake)"
"Rhamphotyphlops braminus (Daudin) (blind snake)"
"""Typhlops"" cariei Hoffstetter"
