extracted with tabula (autodeection of tables works better,,,,,,,,,,,,,
species,common name,1947-1962;Lower Kansas River Basin,1963-1977;Lower Kansas River Basin,1978-1990;Lower Kansas River Basin,1991-2003;Lower Kansas River Basin,1947-1962;Smoky Hill,1963-1977;Smoky Hill,1978-1990;Smoky Hill,1991-2003;Smoky Hill,1947-1962;Arkansas Basin,1963-1977;Arkansas Basin,1978-1990;Arkansas Basin,1991-2003;Arkansas Basin
Macrohybopsis hyostoma,Shoal chub,20.3a,11.5a,10.1a,0.0b,"0
","0
","0
","0
",14.7a,13.0a,0.0b,0.0b
Macrohybopsis meeki,Sicklefin chub,3.8,1.9,0,0,"0
","0
","0
","0
","0
","0
","0
","0
"
Macrohybopsis storeiana,Silver chub,16.5a,13.5a,2.9b,0b,"0
","0
","0
","0
",0,0,0,6.2
Macrohybopsis tetranema,Peppered chub,"0
","0
","0
","0
","0
","0
","0
","0
","2.9a,b",8.7a,0b,"7a,b"
Menidia beryllina,Inland silverside,"0
","0
","0
","0
","0
","0
","0
","0
",0,0,0,2.4
Micropterus punctulatus,Spotted bassINTRO(ALL),0,0,0,2.3,"0
","0
","0
","0
",0,0,0,0.5
Micropterus salmoides,Largemouth bass,8.9a,11.5a,27.5b,47.7b,9.1,15.4,26.9,17,8.8a,13a,"15.5a,b",44.3b
Morone americana,White perchINTRO(ALL),"0
","0
","0
","0
","0
","0
","0
","0
",0,0,0,4.1
Morone chrysops,"White bassINTRO(SH,ARK)",0a,"7.7b,c",21.7c,"7.2b,c",0,0,19.2,5.4,0,0,4.2,7.6
Morone saxatilis,Striped bassINTRO(ALL),0,0,1.4,0,"0
","0
","0
","0
",0,0,0,1.1
Moxostoma erythrurum,Golden redhorse,3.8,9.6,7.2,5.9,"0
","0
","0
","0
",0,0,1.4,4.9
Moxostoma macrolepidotum,Shorthead redhorse,6.3a,15.4b,"14.5a,b","18a,b","0
","0
","0
","0
",0a,13b,"9.9a,b","6.5a,b"
Nocomis biguttatus,Hornyhead chub,"0
","0
","0
","0
","0
","0
","0
","0
",2.9,0,0,0
Notemigonus crysoleucas,Golden shiner,2.5a,5.8a,13b,"10.4a,b",0,0,7.7,4.1,2.9,8.7,5.6,4.3
Notropis athernoides,Emerald shiner,5.1a,19.2b,26.1b,5.4a,0,0,0,1.4,8.8,17.4,22.5,22.2
Notropis bairdi,Red River shiner,"0
","0
","0
","0
","0
","0
","0
","0
",0,0,5.6,1.1
Notropis blennius,River shiner,"3.8a,b",5.8a,5.8a,0.0b,4.5,0,0,0,0.0a,8.7b,0.0a,0.0a
Notropis buchanani,Ghost shiner,"0
","0
","0
","0
","0
","0
","0
","0
",2.9,4.3,0,0.3
Notropis dorsalis,Bigmouth shiner,1.3,3.8,1.4,7.7,"0
","0
","0
","0
","0
","0
","0
","0
"
Notropis girardi,Arkansas River shiner,"0
","0
","0
","0
","0
","0
","0
","0
",23.5a,13a,"4.2a,b",0b
Notropis percobromus,Carmine shiner,31.6a,"19.2a,b","20.3a,b",9.9b,"0
","0
","0
","0
",26.5,4.3,0,0
Notropis stramineus,Sand shiner,40.5a,34.6a,33.3a,71.2b,"63.6a,b",61.5a,26.9b,"76.2a,b",67.6,56.5,62,81.6
Notropis topeka,Topeka shiner,"16.5a,b","13.5a,b",21.7a,4.5b,0,0,3.8,2.7,"0
","0
","0
","0
"
Noturus exilis,Slender madtom,7.6a,30.8b,29.0b,24.8b,"0
","0
","0
","0
","0
","0
","0
","0
"
Noturus flavus,Stonecat,10.1a,9.6a,"11.6a,b",27.5b,"9.1a,b",15.4a,0.0b,"2.0a,b","0
","0
","0
","0
"
Noturus nocturnus,Freckled madtom,"0
","0
","0
","0
","0
","0
","0
","0
",2.9,0,0,1.1
