aggregated from the Excel ffiile attached to the article																				
Family	Genus	species	SpeciesNo	Mc	Na	Yo	Ch	An	Ot	Ni	Hg	Mi	Hy	Ha	Hi	Mk	Ae	Me	Im	period
Euconulidae	Hirasea	acutissima	56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Euconulidae	Hirasea	acuta	57	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	historical
Euconulidae	Hirasea	insignis	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	historical
Euconulidae	Hirasea	sp	59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	historical
Bradybaenidae	Mandarina	aureola	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Bradybaenidae	Mandarina	polita	61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Bradybaenidae	Mandarina	hahajimana	62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Bradybaenidae	Mandarina	exoptata	63	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Bradybaenidae	Mandarina	ponderosa	64	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	historical
Bradybaenidae	Mandarina	sp2	65	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	historical
Bradybaenidae	Mandarina	hayatoi	66	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	historical
Bradybaenidae	Mandarina	sp3	67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Bradybaenidae	Mandarina	sp6	68	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Bradybaenidae	Mandarina	kaguya	69	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Bradybaenidae	Mandarina	sp1	70	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	historical
Bradybaenidae	Mandarina	anijimana	71	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
